lag,batch_size,neurons,layers,split,mean_acc,min_acc,max_acc,diff_acc
4.0,5.0,32.0,1.0,0.85,0.5735294117647058,0.47058823529411764,0.6617647058823529,0.19117647058823528
4.0,20.0,32.0,1.0,0.85,0.5411764705882353,0.4411764705882353,0.6323529411764706,0.19117647058823528
4.0,50.0,32.0,1.0,0.85,0.4970588235294118,0.39705882352941174,0.6323529411764706,0.23529411764705882
4.0,5.0,32.0,2.0,0.85,0.5852941176470587,0.5294117647058824,0.6617647058823529,0.13235294117647056
4.0,20.0,32.0,2.0,0.85,0.5264705882352941,0.39705882352941174,0.6029411764705882,0.20588235294117646
4.0,50.0,32.0,2.0,0.85,0.5147058823529411,0.39705882352941174,0.6176470588235294,0.2205882352941177
4.0,5.0,32.0,3.0,0.85,0.5294117647058824,0.4264705882352941,0.6617647058823529,0.23529411764705882
4.0,20.0,32.0,3.0,0.85,0.5529411764705883,0.36764705882352944,0.6911764705882353,0.32352941176470584
4.0,50.0,32.0,3.0,0.85,0.5,0.38235294117647056,0.6029411764705882,0.22058823529411764
5.0,5.0,16.0,1.0,0.85,0.5529411764705883,0.5,0.6029411764705882,0.1029411764705882
5.0,20.0,16.0,1.0,0.85,0.5441176470588234,0.5147058823529411,0.5735294117647058,0.05882352941176472
5.0,50.0,16.0,1.0,0.85,0.5529411764705883,0.4852941176470588,0.6176470588235294,0.13235294117647062
5.0,5.0,16.0,2.0,0.85,0.5558823529411765,0.4852941176470588,0.6470588235294118,0.16176470588235298
5.0,20.0,16.0,2.0,0.85,0.5117647058823529,0.4852941176470588,0.5441176470588235,0.05882352941176466
5.0,50.0,16.0,2.0,0.85,0.5382352941176471,0.47058823529411764,0.6176470588235294,0.1470588235294118
5.0,5.0,16.0,3.0,0.85,0.5352941176470588,0.47058823529411764,0.6764705882352942,0.20588235294117652
5.0,20.0,16.0,3.0,0.85,0.49411764705882355,0.4117647058823529,0.5588235294117647,0.1470588235294118
5.0,50.0,16.0,3.0,0.85,0.4794117647058823,0.45588235294117646,0.5,0.04411764705882354
5.0,5.0,32.0,1.0,0.85,0.5558823529411765,0.5,0.5882352941176471,0.08823529411764708
5.0,20.0,32.0,1.0,0.85,0.5529411764705883,0.5147058823529411,0.6176470588235294,0.10294117647058831
5.0,50.0,32.0,1.0,0.85,0.5647058823529412,0.5,0.6176470588235294,0.11764705882352944
5.0,5.0,32.0,2.0,0.85,0.55,0.4852941176470588,0.5882352941176471,0.10294117647058826
5.0,20.0,32.0,2.0,0.85,0.5411764705882354,0.5,0.5735294117647058,0.07352941176470584
5.0,50.0,32.0,2.0,0.85,0.5147058823529411,0.47058823529411764,0.5588235294117647,0.08823529411764708
5.0,5.0,32.0,3.0,0.85,0.55,0.4852941176470588,0.6176470588235294,0.13235294117647062
5.0,20.0,32.0,3.0,0.85,0.5352941176470588,0.4411764705882353,0.6176470588235294,0.17647058823529416
5.0,50.0,32.0,3.0,0.85,0.5264705882352941,0.4852941176470588,0.5588235294117647,0.0735294117647059
